peak_index	scan_num	mz	intensity	fwhm	signal_noise	MSFeatureID
355	6005	638.01121	341076	0.0115	3.44	-1
356	6005	638.32241	2831192	0.0116	28.53	-1
357	6005	638.82443	957441	0.0112	9.65	-1
358	6005	639.56425	294699	0.0133	2.97	-1
359	6005	639.8221	9063344	0.0118	91.33	-1
360	6005	640.32343	5662635	0.0122	57.06	-1
361	6005	640.67392	528994	0.0119	5.33	-1
362	6005	640.82484	1940064	0.012	19.55	-1
363	6005	640.99362	1075987	0.0131	10.84	-1
364	6005	641.32819	2459809	0.012	24.79	-1
365	6005	641.35694	358037	0.0129	3.61	-1
366	6005	641.38401	296655	0.012	2.99	-1
367	6005	641.66297	768751	0.0123	7.75	-1
368	6005	641.99545	318822	0.0107	3.21	-1
369	6005	642.38769	247331	0.0133	2.49	-1
370	6005	644.29095	2930165	0.0123	29.53	-1
371	6005	644.79278	2081556	0.0121	20.98	-1
372	6005	645.29168	601321	0.0138	6.06	-1
373	6005	645.35962	310869	0.0117	3.13	-1
374	6005	645.66148	389038	0.0111	3.92	-1
375	6005	645.70477	200836	0.0127	2.02	-1
376	6005	645.99644	213625	0.0117	2.15	-1
377	6005	646.33207	203670	0.0209	2.05	-1
378	6005	646.82562	291698	0.0126	2.94	-1
379	6005	646.85166	209514	0.0134	2.11	-1
380	6005	649.35319	293816	0.0144	2.96	-1
381	6005	650.86327	226759	0.0134	2.28	-1
382	6005	651.36518	269465	0.0125	2.72	-1
383	6005	655.71208	266644	0.0125	2.69	-1
384	6005	656.07874	228542	0.014	2.3	-1
385	6005	660.34406	4719197	0.013	47.55	-1
386	6005	660.84587	2738804	0.0128	27.6	-1
387	6005	661.34713	972176	0.012	9.8	-1
388	6005	661.84808	271458	0.0132	2.74	-1
389	6005	662.395	1005883	0.0126	10.14	-1
390	6005	663.39862	309323	0.0121	3.12	-1
391	6005	664.35597	455204	0.014	4.59	-1
392	6005	664.85855	411522	0.0129	4.15	-1
393	6005	665.29291	512403	0.0127	5.16	-1
394	6005	665.35942	333807	0.0176	3.36	-1
395	6005	667.39182	277543	0.0127	2.8	-1
396	6005	668.83769	231462	0.0137	2.33	-1
397	6005	669.36734	200548	0.0148	2.02	-1
398	6005	669.84097	205413	0.0141	2.07	-1
399	6005	671.58102	298562	0.0125	3.01	-1
400	6005	671.8258	306864	0.011	3.09	-1
401	6005	672.08353	260707	0.0135	2.63	-1
402	6005	672.32584	225611	0.0125	2.27	-1
403	6005	674.06545	228671	0.0117	2.3	-1
404	6005	674.366	1159767	0.0123	11.69	-1
405	6005	674.81891	254779	0.0161	2.57	-1
406	6005	674.8661	1155166	0.0149	11.64	-1
407	6005	675.35703	380112	0.0621	3.83	-1
408	6005	675.36627	392138	0.012	3.95	-1
409	6005	677.35775	253161	0.0127	2.55	-1
410	6005	678.34244	371929	0.0139	3.75	-1
411	6005	678.84272	244815	0.0135	2.47	-1
412	6005	679.03396	217697	0.0146	2.19	-1
413	6005	679.36661	298159	0.0113	3	-1
414	6005	679.70135	228405	0.0109	2.3	-1
