mz	intensity
1037.5784059825	10415.484375
1037.58894106161	11094.2119140625
1037.59947635465	10126.9736328125
1037.61001186164	17111.169921875
1037.62054758258	29419.107421875
1037.63108351747	39557.1875
1037.64161966633	40939.12109375
1037.65215602917	22848.732421875
1037.66269260598	30869.51953125
1037.67322939677	20172.513671875
1037.68376640156	21349.95703125
1037.69430362034	7830.3857421875
1037.70484105313	34903.11328125
1037.71537869992	23384.32421875
1037.72591656074	5628.44873046875
1037.73645463557	15802.4990234375
1037.74699292444	14513.130859375
1037.75753142734	17400.3515625
1037.76807014429	38555.8828125
1037.77860907528	4554.75439453125
1037.78914822033	34083.72265625
1037.79968757945	19522.185546875
1037.81022715263	53082.68359375
1037.82076693989	39895.609375
1037.83130694123	11660.095703125
1037.84184715666	30733.818359375
1037.85238758618	22317.193359375
1037.86292822981	5086.54443359375
1037.87346908754	32928.4375
1037.88401015939	25987.18359375
1037.89455144536	30926.6015625
1037.90509294545	4777.87451171875
1037.91563465968	21006.197265625
