frame_num,ims_scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,orig_intensity,TIA_orig_intensity,drift_time
500,246,2,1783,306.20104,0.3813,610.78488,610.38642,610.38642,0.0424,538,1076,0,0,0,0
500,246,2,5537,376.68884,1.1135,751.83417,751.36203,751.36203,0.0535,864.25,3457,0,0,0,0
500,246,2,43869,379.23441,2.2943,756.80976,756.45318,756.45318,0.0586,15709.5,31419,0,0,0,0
500,246,3,284125,422.89528,3.2072,1266.23961,1265.66236,1265.66236,0.0702,7607.5,152150,0,0,0,0
500,246,3,3208,423.23824,0.561,1269.94185,1266.69125,1269.69805,0,0,0,0,0,0,0
500,246,3,1278,440.52299,0.5596,1319.05201,1318.54005,1319.54291,0.0496,62.9,629,0,0,0,0
500,247,2,15466,379.23355,0.4086,756.69311,756.45145,756.45145,0.0536,838.93,11745,0,0,0,0
500,247,2,5666,395.2092,0.8878,788.68503,788.40275,788.40275,0.0593,452.78,4075,0,0,0,0
500,247,2,3504,397.70679,0.9408,793.68973,793.39793,793.39793,0.0502,165.6,2484,0,0,0,0
500,247,2,2186,412.73885,0.2316,823.93186,823.46206,823.46206,0.0493,115.3,1153,0,0,0,0
500,247,3,272039,422.89538,3.1015,1266.25335,1265.66267,1265.66267,0.0707,7130.5,142610,0,0,0,0
500,248,2,6804,395.20738,1.7886,788.88833,788.39912,788.39912,0.0574,470.22,4232,0,0,0,0
500,248,2,1389,396.69562,0.3976,791.8131,791.3756,791.3756,0.0408,71.09,782,0,0,0,0
500,248,2,5547,397.70738,0.9262,793.71902,793.3991,793.3991,0.0511,150.64,3766,0,0,0,0
500,248,2,3517,419.21444,0.2065,836.56567,836.41324,836.41324,0.0454,129.57,2980,0,0,0,0
500,248,3,194171,422.89482,2.9706,1266.25947,1265.66099,1265.66099,0.0687,12526.5,100212,0,0,0,0
500,249,2,5546,395.20792,0.9217,788.72437,788.40019,788.40019,0.0506,1255.33,3766,0,0,0,0
500,249,2,7477,397.70987,1.8551,793.96855,793.40408,793.40408,0.0534,546,4368,0,0,0,0
500,249,2,3672,406.70174,0.6836,811.77411,811.38782,811.38782,0.0624,42.66,2261,0,0,0,0
500,249,2,1927,412.74345,0.4699,823.90191,823.47125,823.47125,0.0702,60.94,1097,0,0,0,0
500,249,2,6274,419.21361,0.1772,836.55709,836.41157,836.41157,0.0489,233.13,5362,0,0,0,0
500,249,3,99668,422.89346,3.1034,1266.2383,1265.65691,1265.65691,0.0677,3287.31,52597,0,0,0,0
500,250,2,3880,395.20839,0.7576,788.76413,788.40114,788.40114,0.0508,825.33,2476,0,0,0,0
500,250,2,6768,397.71218,1.6908,794.08752,793.40871,793.40871,0.0545,449.38,3595,0,0,0,0
500,250,2,1284,402.25128,0.4902,802.90856,802.48692,802.48692,0.0681,185.5,742,0,0,0,0
500,250,2,6164,406.70734,0.7854,811.76045,811.39903,811.39903,0.0582,303,3939,0,0,0,0
500,250,1,11356,418.71905,0.5448,417.81983,417.71123,417.71123,0.0548,1012.7,10127,0,0,0,0
500,250,3,34828,422.89112,2.6106,1266.17667,1265.64987,1265.64987,0.0642,1266.56,20265,0,0,0,0
500,250,2,1182,430.22679,0.2161,858.92261,858.43792,858.43792,0.038,21.86,612,0,0,0,0
500,251,2,2147,395.21214,0.8736,788.74244,788.40863,788.40863,0.0488,477,1431,0,0,0,0
500,251,3,2989,413.87846,0.9844,1240.85248,1238.61192,1240.61671,0,0,0,0,0,0,0
500,251,1,2620,414.75872,0.7189,414.01548,413.7509,413.7509,0.0576,1930,1930,0,0,0,0
500,251,1,8694,418.71968,0.4557,417.80388,417.71186,417.71186,0.056,789.8,7898,0,0,0,0
500,251,3,2937,540.57188,0.4516,1621.93343,1618.69217,1621.69931,0,0,0,0,0,0,0
500,252,3,2696,413.54342,0.56,1240.85388,1237.60679,1240.61355,0,0,0,0,0,0,0
