frame_num,ims_scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,total_isotopic_abundance,orig_intensity,TIA_orig_intensity,drift_time,cumulative_drift_time
1200,280,2,2865,550.26171,0.1063,1099.18166,1098.50997,1098.50997,0.0579,110.19,2865,0,3665,826,892,27.857,33456.09
1200,280,3,1365,577.31421,0.167,1730.11793,1728.97458,1728.97458,0.0718,9.1,968,365,2698,261,681,27.857,33456.09
1200,281,3,6899,670.99009,0.0211,2011.25278,2009.94115,2010.94402,0.0873,156.8,6776,4028,21010,628,2670,27.956,33575.58
1200,281,2,2966,500.23707,0.0222,999.06518,998.46068,998.46068,0.0672,269.64,2966,503,4712,1775,2696,27.956,33575.58
1200,281,2,2228,549.76688,0.0262,1098.19184,1097.5203,1097.5203,0.0777,202.55,2228,0,3875,232,403,27.956,33575.58
1200,281,3,1423,585.27905,0.1896,1753.97309,1752.81698,1752.81698,0.0821,474.33,1423,484,3242,797,2122,27.956,33575.58
1200,281,3,1292,577.33867,0.2272,1730.06635,1728.92301,1728.92301,0.0658,430.67,853,0,2145,36,539,27.956,33575.58
1200,281,3,546,586.54554,0.2315,1757.77351,1756.6168,1756.6168,0.176,17.06,546,0,546,353,353,27.956,33575.58
1200,282,3,3222,670.98429,0.0458,2011.28036,2009.96873,2010.9716,0.0752,644.4,2305,2373,9403,562,1168,28.056,33695.07
1200,282,3,2797,585.29091,0.039,1753.97054,1752.81427,1752.81427,0.0718,932.33,2545,1865,7822,1482,4775,28.056,33695.07
1200,282,2,2270,549.77038,0.0429,1098.19885,1097.5273,1097.5273,0.0803,103.18,2270,455,4678,55,668,28.056,33695.07
1200,282,2,2096,500.23161,0.0999,999.05427,998.44976,998.44976,0.0781,2096,2096,0,2725,1184,1535,28.056,33695.07
1200,282,3,1382,577.34059,0.1015,1730.13383,1728.99049,1728.99049,0.075,20.32,1052,0,2434,592,751,28.056,33695.07
1200,282,3,651,654.31584,0.1852,1961.28437,1960.00246,1961.00534,0.0627,27.13,367,537,1555,651,1287,28.056,33695.07
1200,282,3,607,598.97588,0.095,1795.08089,1793.89627,1794.89915,0.0711,11.04,453,509,1569,3,598,28.056,33695.07
1200,283,3,4173,585.29368,0.0448,1753.99564,1752.83938,1752.83938,0.0683,521.63,3317,2058,10785,2146,6745,28.155,33814.55
1200,283,3,2816,670.98152,0.0658,2011.26607,2009.95445,2010.95732,0.0823,88,2117,1097,7046,1416,2094,28.155,33814.55
1200,283,2,1980,549.75892,0.0352,1098.17592,1097.50438,1097.50438,0.0628,123.75,1980,0,3377,185,345,28.155,33814.55
1200,283,3,788,565.99679,0.1502,1696.08966,1694.97019,1694.97019,0.0708,28.14,788,0,1471,232,310,28.155,33814.55
1200,283,3,908,598.64493,0.2001,1794.09892,1792.9146,1793.91747,0.1035,129.71,742,0,1650,722,1228,28.155,33814.55
1200,283,1,582,617.65344,0.2024,617.01932,616.64671,616.64671,0.1478,30.63,582,0,582,118,118,28.155,33814.55
1200,283,1,563,586.63042,0.0276,585.98079,585.6237,585.6237,0.075,56.3,563,0,563,469,469,28.155,33814.55
1200,283,3,542,616.65204,0.2052,1847.14773,1845.93308,1846.93595,0.0638,135.5,542,0,982,242,381,28.155,33814.55
1200,283,2,541,538.29809,0.1595,1075.23946,1074.58272,1074.58272,0.0643,27.05,541,0,541,298,298,28.155,33814.55
1200,284,3,5553,585.30479,0.0827,1754.05031,1752.8942,1752.8942,0.0745,185.1,5553,1323,11977,3823,7613,28.255,33934.04
1200,284,3,1350,671.00886,0.1425,2011.25058,2009.93895,2010.94182,0.0858,450,551,657,3381,252,610,28.255,33934.04
1200,284,1,818,616.31304,0.0384,615.67877,615.30631,615.30631,0.0669,22.72,818,0,1160,242,405,28.255,33934.04
1200,284,3,778,598.64246,0.1749,1794.09151,1792.90719,1793.91006,0.0571,77.8,778,336,2085,249,1393,28.255,33934.04
1200,284,2,768,549.75213,0.1111,1098.16234,1097.4908,1097.4908,0.0735,384,768,0,1241,164,170,28.255,33934.04
1200,284,3,687,617.98819,0.0512,1852.16368,1850.94828,1851.95115,0.0574,22.16,581,486,1754,651,1137,28.255,33934.04
1200,284,3,593,565.99368,0.1023,1696.08034,1694.96087,1694.96087,0.1163,296.5,593,0,593,62,62,28.255,33934.04
1200,284,3,539,683.99653,0.1076,2050.33295,2048.99684,2049.99972,0.0684,539,502,0,1041,287,571,28.255,33934.04
