scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,flag,interference_score
78,2,2046460,824.87046,0.1075,1648.81804,1647.72783,1647.72783,0.2424,4.25,2046460,0,1,0.49402
78,2,2045026,541.70135,0.2202,1081.99779,1081.34,1081.34,0.5198,4.25,2045026,0,1,0.52433
78,3,1764875,739.77599,0.2292,2216.74758,2215.30489,2216.30778,0.1333,3.67,1764875,0,,0.43046
78,3,1444849,723.85156,0.1946,2168.93915,2167.53159,2168.53449,0.1884,3.0,1444849,0,1,0.46414
91,2,9162031,609.30321,0.2115,1217.33422,1216.59297,1216.59297,0.2783,19.99,9162031,0,,0.15671
91,1,7570053,769.83915,0.1807,769.29895,768.83271,768.83271,0.5488,16.52,7570053,0,1,0.41457
91,3,121469824,800.14251,0.2355,2393.95026,2392.39668,2393.39954,0.217,12.14,5561081,0,,0
91,3,4548939,628.59746,0.0756,1883.30241,1882.06374,1882.77221,0.4851,9.93,4548939,0,1,0.36245
91,2,4253808,811.40762,0.1429,1621.87863,1620.80179,1620.80179,0.4381,9.28,4253808,0,,0
91,2,3840461,785.2852,0.1344,1569.60376,1568.55695,1568.55695,0.3014,8.38,3840461,0,,0
91,2,3528213,703.34068,0.0927,1405.60844,1404.66791,1404.66791,0.3809,7.7,3528213,0,,0.21978
91,2,2690054,729.32359,0.0773,1457.61152,1456.63371,1456.63371,0.343,5.87,2690054,0,,0
91,3,2152173,723.51229,0.1628,2168.84629,2167.44042,2168.43401,0.3102,4.7,2152173,0,,0
91,2,1730606,627.25622,0.2529,1252.29373,1251.52656,1251.52656,0.4352,3.78,1730606,0,1,0.49877
104,2,11841817,609.75532,0.1698,1218.23845,1217.49719,1217.49719,0.2004,23.22,11841817,0,1,0.5224
104,2,4320180,699.68194,0.1703,1398.27869,1397.33921,1397.33921,0.4137,8.47,4320180,0,,0
104,2,4127874,867.45202,0.1391,1734.03262,1732.88882,1732.88882,0.3559,8.1,4127874,0,,0
104,3,3412906,628.58599,0.0673,1883.26798,1882.02931,1882.73778,0.482,6.69,3412906,0,1,0.45739
104,3,3043155,723.51275,0.1868,2168.84766,2167.44179,2168.43538,0.3387,5.97,3043155,0,1,0
104,3,2998904,614.66811,0.0995,1841.19294,1839.98124,1840.98413,0.1323,5.88,2998904,0,1,0.48489
